"47.708628, -122.322921"
"47.661659, -122.314396"
"47.737700, -122.343100"
"47.659542, -122.342581"
"47.663300, -122.302200"
"47.686952, -122.376640"
"47.618625, -122.315716"
"47.619257, -122.322168"
"47.620133, -122.347567"
"47.623463, -122.354758"
"47.668620, -122.376639"
"47.667801, -122.376537"
"47.616853, -122.348943"
"47.611277, -122.323094"
"47.622404, -122.326519"
"47.593529, -122.308393"
"47.618067, -122.326819"
"47.679580, -122.375636"
"47.614965, -122.342935"
"47.614965, -122.342935"
"47.702903, -122.355702"
"47.614684, -122.342741"
"47.662344, -122.319876"
"47.625777, -122.353063"
"47.612820, -122.327837"
"47.614965, -122.342935"
"47.639272, -122.351840"
"47.684900, -122.296800"
"47.634019, -122.325285"
"47.676520, -122.376472"
"47.614705, -122.342720"
"47.661320, -122.314237"
"47.607820, -122.326537"
"47.673400, -122.342600"
"47.732122, -122.347473"
"47.646720, -122.361939"
"47.661420, -122.323937"
"47.663300, -122.302200"
"47.614918, -122.344809"
"47.663300, -122.302200"
"47.639272, -122.351840"
"47.614918, -122.344809"
"47.604734, -122.322151"
"47.625835, -122.353063"
"47.580726, -122.314536"
"47.663114, -122.305348"
"47.663812, -122.305534"
"47.663160, -122.305351"
"47.609982, -122.282467"
"47.728280, -122.301810"
"47.616020, -122.348838"
"47.671920, -122.257727"
"47.672237, -122.379134"
"47.557835, -122.280729"
"47.544921, -122.262034"
"47.559703, -122.378576"
"47.659220, -122.334938"
"47.710020, -122.285137"
"47.663133, -122.314997"
"47.569058, -122.293524"
"47.666220, -122.308237"
"47.594299, -122.388811"
"47.684768, -122.313334"
"47.684900, -122.296800"
"47.680140, -122.351947"
"47.687300, -122.377200"
"47.673400, -122.342600"
"47.539800, -122.387800"
"47.718210, -122.316738"
"47.718210, -122.316738"
"47.718210, -122.316738"
"47.718210, -122.316738"
"47.673802, -122.368848"
"47.669838, -122.284677"
"47.633666, -122.358350"
"47.667223, -122.312937"
"47.737700, -122.343100"
"47.691826, -122.338965"
"47.686820, -122.331438"
"47.628843, -122.323666"
"47.669274, -122.317239"
"47.618502, -122.312787"
"47.719665, -122.318473"
"47.704766, -122.339501"
"47.674420, -122.376139"
"47.683427, -122.328222"
"47.775877, -122.373447"
"47.627888, -122.325747"
"47.637909, -122.374671"
"47.624982, -122.347140"
"47.611620, -122.294936"
"47.671586, -122.384241"
"47.645803, -122.324578"
"47.683220, -122.363039"
"47.710538, -122.320674"
"47.749063, -122.347977"
"47.667244, -122.279263"
"47.593259, -122.290430"
"47.534400, -122.354700"
"47.648800, -122.396400"
"47.678420, -122.326738"
"47.653507, -122.353363"
"47.667887, -122.318548"
"47.737700, -122.343100"
"47.630255, -122.342338"
"47.664116, -122.351475"
"47.619413, -122.344136"
"47.620020, -122.324037"
"47.611220, -122.340523"
"47.616330, -122.308397"
"47.684900, -122.296800"
"47.633658, -122.342227"
"47.690584, -122.346153"
"47.608020, -122.295036"
"47.702943, -122.359755"
"47.625936, -122.363684"
"47.615100, -122.344700"
"47.678854, -122.319717"
"47.613120, -122.317894"
"47.668620, -122.376039"
"47.625311, -122.326537"
"47.625311, -122.326537"
"47.625311, -122.326537"
"47.636231, -122.356838"
"47.568220, -122.365138"
"47.660220, -122.385940"
"47.755919, -122.342873"
"47.616420, -122.353338"
"47.696883, -122.328238"
"47.755919, -122.342873"
"47.670811, -122.385102"
"47.609482, -122.344866"
"47.737700, -122.343100"
"47.532512, -122.360270"
"47.623116, -122.331562"
"47.614582, -122.342666"
"47.612579, -122.329406"
"47.617490, -122.349608"
"47.623159, -122.339737"
"47.617620, -122.351638"
"47.529820, -122.392538"
"47.599079, -122.302046"
"47.599079, -122.302046"
"47.599079, -122.302046"
"47.616289, -122.316295"
"47.624420, -122.332937"
"47.650515, -122.333122"
"47.673720, -122.373339"
"47.588568, -122.292552"
"47.613266, -122.346497"
"47.625231, -122.320976"
"47.663191, -122.312837"
"47.625231, -122.320976"
"47.625231, -122.320976"
"47.652121, -122.389971"
"47.532512, -122.360270"
"47.616420, -122.353338"
"47.619365, -122.303489"
"47.717649, -122.298021"
"47.668589, -122.387500"
"47.618965, -122.338357"
"47.564362, -122.373479"
"47.690869, -122.290537"
"47.621264, -122.359240"
"47.615100, -122.344700"
"47.615777, -122.332529"
"47.562902, -122.385437"
"47.624418, -122.365363"
"47.627352, -122.342433"
"47.633900, -122.347600"
"47.574600, -122.393400"
"47.712510, -122.344467"
"47.633528, -122.344823"
"47.739064, -122.342720"
"47.739049, -122.342677"
"47.739064, -122.342892"
"47.612528, -122.348424"
"47.612528, -122.348424"
"47.669896, -122.329245"
"47.710585, -122.325554"
"47.524600, -122.363323"
"47.553920, -122.386838"
"47.522661, -122.390138"
"47.648420, -122.383339"
"47.648867, -122.383146"
"47.682119, -122.395978"
"47.534400, -122.354700"
"47.673400, -122.342600"
"47.603600, -122.325600"
"47.617830, -122.307324"
"47.632373, -122.343542"
"47.690869, -122.290537"
"47.692613, -122.353850"
"47.621264, -122.359240"
"47.627483, -122.341990"
"47.614620, -122.340437"
"47.659220, -122.342038"
"47.613971, -122.333512"
"47.564020, -122.375738"
"47.620097, -122.357829"
"47.617420, -122.347138"
"47.612702, -122.348835"
"47.712510, -122.344467"
"47.712510, -122.344467"
"47.621264, -122.359240"
"47.675560, -122.312121"
"47.675603, -122.312143"
"47.668123, -122.402126"
"47.647702, -122.378739"
"47.673400, -122.342600"
"47.618595, -122.309954"
"47.636020, -122.371639"
"47.706366, -122.333735"
"47.731357, -122.348042"
"47.619601, -122.353964"
"47.616853, -122.349050"
"47.647702, -122.378739"
"47.647702, -122.378739"
"47.666471, -122.300895"
"47.615622, -122.326755"
"47.623116, -122.331562"
"47.539800, -122.387800"
"47.623520, -122.360538"
"47.616420, -122.353338"
"47.700332, -122.317471"
"47.720041, -122.299290"
"47.613129, -122.332063"
"47.775243, -122.351732"
"47.613120, -122.313831"
"47.618965, -122.338357"
"47.614620, -122.340437"
"47.584600, -122.300500"
"47.615507, -122.351088"
"47.641919, -122.345266"
"47.707986, -122.333944"
"47.605989, -122.332034"
"47.615100, -122.344700"
"47.737700, -122.343100"
"47.668620, -122.368583"
"47.594197, -122.301076"
"47.643201, -122.349029"
"47.627285, -122.320218"
"47.692220, -122.282537"
"47.638720, -122.374988"
"47.648549, -122.359865"
"47.670100, -122.376300"
"47.651224, -122.320930"
"47.534400, -122.354700"
"47.672410, -122.275536"
"47.626080, -122.342682"
"47.611168, -122.341261"
"47.669491, -122.393489"
"47.623868, -122.296865"
"47.650981, -122.343838"
"47.647702, -122.378739"
"47.666471, -122.300895"
"47.611950, -122.347612"
"47.617244, -122.352548"
"47.611950, -122.347591"
"47.663300, -122.302200"
"47.633557, -122.344780"
"47.615777, -122.332529"
"47.676420, -122.319460"
"47.619124, -122.346668"
"47.619124, -122.346668"
"47.619515, -122.345531"
"47.686976, -122.376640"
"47.564466, -122.372792"
"47.625044, -122.363138"
"47.589520, -122.386339"
"47.539120, -122.353807"
"47.613382, -122.315683"
"47.623520, -122.360538"
"47.666770, -122.382106"
"47.613136, -122.346582"
"47.615420, -122.326737"
"47.616057, -122.326795"
"47.612320, -122.347938"
"47.617420, -122.347138"
"47.755919, -122.342873"
"47.623520, -122.360538"
"47.623289, -122.360466"
"47.618965, -122.338357"
"47.607692, -122.327833"
"47.708622, -122.323084"
"47.708622, -122.323084"
"47.564419, -122.373102"
"47.673400, -122.342600"
"47.633900, -122.347600"
"47.633900, -122.347600"
"47.647702, -122.378739"
"47.711480, -122.326455"
"47.651693, -122.392940"
"47.611220, -122.340523"
"47.633900, -122.347600"
"47.633900, -122.347600"
"47.620120, -122.314237"
"47.670100, -122.376300"
"47.682420, -122.354641"
